استان,شهر,longitude,latitude
زنجان,آب بر,48.97,36.92
خوزستان,آبادان,48.28,30.33
فارس,آباده,52.67,31.18
ایلام,آبدانان,47.47,32.94
قزوین,آبیک,50.53,36.05
آذربایجان شرقی,آذر شهر,45.97,37.76
اصفهان,آران و بیدگل,51.48,34.05
گلستان,آزاد شهر,55.16,37.09
گیلان,آستارا,48.85,38.43
گیلان,آستانه اشرفیه,49.98,37.27
مركزی,آشتیان,50,34.55
خراسان شمالي,آشخانه,56.93,37.56
گلستان,آق قلا,54.45,37.02
خوزستان,آغاجاری,49.83,30.7
مازندران,آمل,52.4,36.43
زنجان,ابهر,49.22,36.15
مركزی,اراک,49.7,34.08
اردبیل,اردبیل,48.3,38.25
اصفهان,اردستان,52.37,33.38
یزد,اردکان,54.01,32.32
چهارمحال و بختياري,اردل,50.66,32
فارس,ارسنجان,53.31,29.91
آذربایجان غربی,ارومیه,45,37.53
لرستان,ازنا,48.96,33.6
فارس,استهبان,54.04,29.12
همدان,اسدآباد,48.11,34.79
خراسان شمالی,اسفراین,57.5,37.1
آذربایجان شرقی,اسکو,46.12,37.92
کرمانشاه,اسلام آباد,47.12,34.32
تهران,اسلامشهر,51.2,35.54
آذربایجان غربی,اشنویه,45.1,37.05
اصفهان,اصفهان,51.68,32.68
قزوین,اقبالیه,51.54,35.3
فارس,اقلید,52.71,31.01
تهران,اکبرآباد,52.77,29.24
لرستان,الشتر,48.25,33.87
قزوين,الوند,49.16,36.32
لرستان,الیگودرز,49.72,33.37
گيلان,املش,50.19,37.1
خوزستان,امیدیه,49.71,30.75
مازندران,امیرکلا,52.71,36.62
خوزستان,اندیمشک,48.35,33.45
آذربایجان شرقی,اهر,47.06,38.47
بوشهر,اهرم,51.28,28.88
خوزستان,اهواز,48.72,31.28
خوزستان,ایذه,49.9,31.8
سیستان و بلوچستان,ایرانشهر,60.7,27.2
ایلام,ایلام,46.43,33.63
ایلام,ایوان,46.31,33.83
مازندران,بابل,52.7,36.53
مازندران,بابلسر,52.64,36.71
خوزستان,باغ ملک,49.89,31.52
كرمان,بافت,56.6,29.28
یزد,بافق,55.4,31.58
كردستان,بانه,45.92,35.98
خراسان شمالی,بجنورد,57.32,37.47
بوشهر,برازجان,51.2,29.27
خراسان رضوی,برداسکن,57.97,35.25
كرمان,بردسیر,56.56,29.93
لرستان,بروجرد,48.8,33.92
چهارمحال و بختياري,بروجن,51.29,31.97
خوزستان,بستان آباد,46.83,37.84
كرمان,بم,58.35,29.08
آذربايجان شرقي,بناب,46.05,37.33
خوزستان,بندر امام خمینی,49.08,30.43
گیلان,بندر انزلی,49.45,37.47
گلستان,بندر ترکمن,54.07,36.88
هرمزگان,بندر عباس,56.25,27.25
گلستان,بندر گز,53.95,36.77
بوشهر,بندر گناوه,50.52,29.57
هرمزگان,بندر لنگه,54.9,26.55
قزوین,بوئین زهرا,50.06,35.77
فارس,بوانات,53.64,30.46
بوشهر,بوشهر,50.83,28.92
آذربایجان غربی,بوکان,46.2,36.53
همدان,بهار,48.43,34.9
خوزستان,بهبهان,50.27,30.58
مازندران,بهشهر,53.55,36.72
كردستان,بیجار,47.6,35.87
خراسان جنوبی,بیرجند,59.22,32.88
اردبیل,بیله سوار,48.36,39.37
اردبیل,پارس آباد,47.93,39.65
تهران,پاکدشت,51.7,35.47
كرمانشاه,پاوه,46.37,35.05
مازندران,پل سفید,53.06,36.12
آذربایجان شرقی,پیرانشهر,45.13,36.7
تهران,پیشوا,51.73,35.3
کرمانشاه,تازه آباد,46.16,34.74
قزوین,تاکستان,49.7,36.07
گیلان,تالش,48.92,37.8
خراسان رضوی,تایباد,60.77,34.74
آذربایجان شرقی,تبریز,46.3,38.08
خراسان رضوی,تربت جام,60.62,35.22
خراسان رضوی,تربت حیدریه,59.22,35.28
يزد,تفت,54.22,31.73
مركزي,تفرش,50.02,34.68
آذربایجان غربی,تکاب,47.1,36.41
مازندران,تنکابن,50.88,36.82
همدان,تویسرکان,48.44,34.55
تهران,تهران,51.43,35.67
خراسان شمالي,جاجرم,56.31,36.97
هرمزگان,جاسک,57.52,25.75
